/* DATA DESCRIPTION:
Citation:	Dallmayr, Remi; Freitag, Johannes; Hörhold, Maria; Laepple, Thomas; Wilhelms, Frank (2021): GPR profiles between B31, B32, and B33, terrestrial traverses 1999/2000 ; 2000/2001, Droning-Maud Land [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.935129
Abstract:	Surface Mass Balance between location B31 and B33 (SMB, in kg/m2/yr) corresponding to interval between radar horizons (1-2), between Tambora (1817) and year of measurement (2000/2001). The conversion of IRH traveltime to depth was discribed in Rotschky et al. 2004, and Eisen et al. 2004.
Keyword(s):	accumulation rate in Dronning Maud Land; GPR; terrestrial traverse
Related to:	Dallmayr, Remi; Freitag, Johannes; Laepple, Thomas; Wilhelms, Frank; Jansen, Daniela; Behrens, Melanie K; Hörhold, Maria (2021): Topographic effect creates non-climatic variations in ice-core based temperature records of the last millennium. https://doi.org/10.1002/essoar.10508113.1
	Eisen, Olaf; Rack, Wolfgang; Nixdorf, Uwe; Wilhelms, Frank (2005): Characteristics of accumulation around the EPICA deep-drilling site in Dronning Maud Land, Antarctica. Annals of Glaciology, 41, 41-46, https://doi.org/10.3189/172756405781813276
	Rotschky, Gerit; Eisen, Olaf; Wilhelms, Frank; Nixdorf, Uwe; Oerter, Hans (2004): Spatial distribution of surface mass balance on Amundsenisen plateau, Antarctica, derived from ice-penetrating radar studies. Annals of Glaciology, 39, 265-270, https://doi.org/10.3189/172756404781814618
Project(s):	European Project for Ice Coring in Antarctica (EPICA) (URI: https://en.wikipedia.org/wiki/European_Project_for_Ice_Coring_in_Antarctica)
Funding:	Fifth Framework Programme (FP5), grant/award no. EVK2-CT-2000-00077: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/EVK2-CT-2000-00077)
	Fourth Framework Programme (FP4), grant/award no. ENV4980702: European Project for Ice Coring in Antarctica (URI: https://cordis.europa.eu/project/id/ENV4980702)
Coverage:	MEDIAN LATITUDE: -75.191115 * MEDIAN LONGITUDE: 1.472444 * SOUTH-BOUND LATITUDE: -75.581500 * WEST-BOUND LONGITUDE: -3.430333 * NORTH-BOUND LATITUDE: -74.968500 * EAST-BOUND LONGITUDE: 6.499999
	DATE/TIME START: 1999-12-01T00:00:00 * DATE/TIME END: 2001-01-31T00:00:00
Event(s):	ANT-Land_1999 (Transect 1999/2000 (B32 to B33)) * LATITUDE START: -75.002500 * LONGITUDE START: 0.007333 * LATITUDE END: -75.166667 * LONGITUDE END: 6.500000 * DATE/TIME START: 1999-12-01T00:00:00 * DATE/TIME END: 2000-01-31T00:00:00 * LOCATION: Antarctica * CAMPAIGN: EPICA_DML5 * BASIS: Kohnen Station (URI: https://doi.org/10.17815/jlsrf-2-152) * METHOD/DEVICE: Multiple investigations (MULT)
	ANT-Land_2000 (Transect 2000/2001 (B31 to B32)) * LATITUDE START: -75.002326 * LONGITUDE START: 0.007496 * LATITUDE END: -75.581732 * LONGITUDE END: -3.431095 * DATE/TIME START: 2000-12-01T00:00:00 * DATE/TIME END: 2001-01-31T00:00:00 * LOCATION: Antarctica * CAMPAIGN: EPICA_DML6 * BASIS: Kohnen Station (URI: https://doi.org/10.17815/jlsrf-2-152) * METHOD/DEVICE: Multiple investigations (MULT)
Parameter(s):	Event label (Event) * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	Distance [km] (Distance) * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	LONGITUDE (Longitude) * GEOCODE * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	LATITUDE (Latitude) * GEOCODE * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de)
	Surface mass balance [kg/m**2/a] (SMB) * PI: Dallmayr, Remi (https://orcid.org/0000-0001-6059-0098, remi.dallmayr@awi.de) * COMMENT: corresponding to interval between radar horizons (1-2)
License:	Creative Commons Attribution 4.0 International (CC-BY-4.0) (URI: https://creativecommons.org/licenses/by/4.0/)
Status:	Curation Level: Enhanced curation (URI: https://wiki.pangaea.de/wiki/Curation_levels)
Size:	31822 data points
*/
Event	Distance [km]	Longitude	Latitude	SMB [kg/m**2/a]
ANT-Land_2000	11.655	-3.0839384	-75.5223740	46.26
ANT-Land_2000	11.666	-3.0835903	-75.5223146	46.28
ANT-Land_2000	11.678	-3.0832422	-75.5222551	46.29
ANT-Land_2000	11.690	-3.0828940	-75.5221957	46.31
ANT-Land_2000	11.702	-3.0825459	-75.5221363	46.32
ANT-Land_2000	11.713	-3.0821978	-75.5220769	46.34
ANT-Land_2000	11.725	-3.0818496	-75.5220175	46.36
ANT-Land_2000	11.737	-3.0815015	-75.5219580	46.37
ANT-Land_2000	11.748	-3.0811533	-75.5218986	46.39
ANT-Land_2000	11.760	-3.0808052	-75.5218392	46.40
ANT-Land_2000	11.772	-3.0804571	-75.5217798	46.42
ANT-Land_2000	11.784	-3.0801089	-75.5217203	46.44
ANT-Land_2000	11.795	-3.0797608	-75.5216609	46.45
ANT-Land_2000	11.807	-3.0794127	-75.5216015	46.47
ANT-Land_2000	11.819	-3.0790645	-75.5215421	46.48
ANT-Land_2000	11.830	-3.0787164	-75.5214826	46.50
ANT-Land_2000	11.842	-3.0783683	-75.5214232	46.51
ANT-Land_2000	11.854	-3.0780201	-75.5213638	46.53
ANT-Land_2000	11.865	-3.0776720	-75.5213044	46.55
ANT-Land_2000	11.877	-3.0773239	-75.5212449	46.56
ANT-Land_2000	11.889	-3.0769757	-75.5211855	46.58
ANT-Land_2000	11.901	-3.0766276	-75.5211261	46.59
ANT-Land_2000	11.912	-3.0762795	-75.5210667	46.61
ANT-Land_2000	11.924	-3.0759313	-75.5210073	46.56
ANT-Land_2000	11.936	-3.0755832	-75.5209478	46.51
ANT-Land_2000	11.947	-3.0752350	-75.5208884	46.47
ANT-Land_2000	11.959	-3.0748869	-75.5208290	46.42
ANT-Land_2000	11.971	-3.0745388	-75.5207696	46.37
ANT-Land_2000	11.983	-3.0741906	-75.5207101	46.32
ANT-Land_2000	11.994	-3.0738425	-75.5206507	46.28
ANT-Land_2000	12.006	-3.0734944	-75.5205913	46.23
ANT-Land_2000	12.018	-3.0731462	-75.5205319	46.18
ANT-Land_2000	12.029	-3.0727981	-75.5204724	46.13
ANT-Land_2000	12.041	-3.0724500	-75.5204130	46.08
ANT-Land_2000	12.053	-3.0721018	-75.5203536	46.04
ANT-Land_2000	12.065	-3.0717537	-75.5202942	45.99
ANT-Land_2000	12.076	-3.0714056	-75.5202348	45.94
ANT-Land_2000	12.088	-3.0710574	-75.5201753	45.90
ANT-Land_2000	12.100	-3.0707093	-75.5201159	45.85
ANT-Land_2000	12.111	-3.0703612	-75.5200565	45.80
ANT-Land_2000	12.123	-3.0700130	-75.5199971	45.75
ANT-Land_2000	12.135	-3.0696649	-75.5199376	45.71
ANT-Land_2000	12.147	-3.0693167	-75.5198782	45.66
ANT-Land_2000	12.158	-3.0689686	-75.5198188	45.61
ANT-Land_2000	12.170	-3.0686205	-75.5197594	45.56
ANT-Land_2000	12.182	-3.0682723	-75.5197000	45.51
ANT-Land_2000	12.193	-3.0679242	-75.5196405	45.46
ANT-Land_2000	12.205	-3.0675761	-75.5195811	45.41
ANT-Land_2000	12.217	-3.0672279	-75.5195217	45.37
ANT-Land_2000	12.229	-3.0668798	-75.5194623	45.32
ANT-Land_2000	12.240	-3.0665317	-75.5194028	45.27
ANT-Land_2000	12.252	-3.0661835	-75.5193434	45.23
ANT-Land_2000	12.264	-3.0658354	-75.5192840	45.18
ANT-Land_2000	12.275	-3.0654873	-75.5192246	45.13
ANT-Land_2000	12.287	-3.0651391	-75.5191651	45.09
ANT-Land_2000	12.299	-3.0647910	-75.5191057	45.04
ANT-Land_2000	12.311	-3.0644428	-75.5190463	45.00
ANT-Land_2000	12.322	-3.0640947	-75.5189869	44.95
ANT-Land_2000	12.334	-3.0637466	-75.5189275	44.91
ANT-Land_2000	12.346	-3.0633984	-75.5188680	44.86
ANT-Land_2000	12.357	-3.0630503	-75.5188086	44.81
ANT-Land_2000	12.369	-3.0627022	-75.5187492	44.77
ANT-Land_2000	12.381	-3.0623540	-75.5186898	44.72
ANT-Land_2000	12.393	-3.0620059	-75.5186303	44.68
ANT-Land_2000	12.404	-3.0616578	-75.5185709	44.63
ANT-Land_2000	12.416	-3.0613096	-75.5185115	44.58
ANT-Land_2000	12.428	-3.0609615	-75.5184521	44.53
ANT-Land_2000	12.439	-3.0606134	-75.5183926	44.49
ANT-Land_2000	12.451	-3.0602652	-75.5183332	44.44
ANT-Land_2000	12.463	-3.0599171	-75.5182738	44.39
ANT-Land_2000	12.475	-3.0595690	-75.5182144	44.34
ANT-Land_2000	12.486	-3.0592208	-75.5181549	44.30
ANT-Land_2000	12.498	-3.0588727	-75.5180955	44.25
ANT-Land_2000	12.510	-3.0585245	-75.5180361	44.20
ANT-Land_2000	12.521	-3.0581764	-75.5179767	44.15
ANT-Land_2000	12.533	-3.0578283	-75.5179172	44.11
ANT-Land_2000	12.545	-3.0574801	-75.5178578	44.06
ANT-Land_2000	12.557	-3.0571320	-75.5177984	44.01
ANT-Land_2000	12.568	-3.0567839	-75.5177390	43.97
ANT-Land_2000	12.580	-3.0564357	-75.5176796	43.92
ANT-Land_2000	12.592	-3.0560876	-75.5176201	43.87
ANT-Land_2000	12.603	-3.0557395	-75.5175607	43.83
ANT-Land_2000	12.615	-3.0553913	-75.5175013	43.77
ANT-Land_2000	12.627	-3.0550432	-75.5174419	43.71
ANT-Land_2000	12.639	-3.0546951	-75.5173824	43.65
ANT-Land_2000	12.650	-3.0543469	-75.5173230	43.60
ANT-Land_2000	12.662	-3.0539988	-75.5172636	43.54
ANT-Land_2000	12.674	-3.0536507	-75.5172042	43.48
ANT-Land_2000	12.685	-3.0533025	-75.5171447	43.43
ANT-Land_2000	12.697	-3.0529544	-75.5170853	43.37
ANT-Land_2000	12.709	-3.0526062	-75.5170259	43.31
ANT-Land_2000	12.721	-3.0522581	-75.5169665	43.26
ANT-Land_2000	12.732	-3.0519100	-75.5169071	43.20
ANT-Land_2000	12.744	-3.0515618	-75.5168476	43.14
ANT-Land_2000	12.756	-3.0512137	-75.5167882	43.09
ANT-Land_2000	12.767	-3.0508656	-75.5167288	43.03
ANT-Land_2000	12.779	-3.0505174	-75.5166694	42.97
ANT-Land_2000	12.791	-3.0501693	-75.5166099	42.92
ANT-Land_2000	12.803	-3.0498212	-75.5165505	42.86
ANT-Land_2000	12.814	-3.0494730	-75.5164911	42.80
ANT-Land_2000	12.826	-3.0491249	-75.5164317	42.74
ANT-Land_2000	12.838	-3.0487768	-75.5163723	42.68
ANT-Land_2000	12.849	-3.0484286	-75.5163128	42.63
ANT-Land_2000	12.861	-3.0480805	-75.5162534	42.57
ANT-Land_2000	12.873	-3.0477324	-75.5161940	42.52
ANT-Land_2000	12.885	-3.0473842	-75.5161346	42.46
ANT-Land_2000	12.896	-3.0470361	-75.5160751	42.40
ANT-Land_2000	12.908	-3.0466879	-75.5160157	42.35
ANT-Land_2000	12.920	-3.0463398	-75.5159563	42.29
ANT-Land_2000	12.931	-3.0459917	-75.5158969	42.23
ANT-Land_2000	12.943	-3.0456435	-75.5158374	42.17
ANT-Land_2000	12.955	-3.0452954	-75.5157780	42.12
ANT-Land_2000	12.967	-3.0449473	-75.5157186	42.06
ANT-Land_2000	12.978	-3.0445991	-75.5156592	42.00
ANT-Land_2000	12.990	-3.0442510	-75.5155998	41.95
ANT-Land_2000	13.002	-3.0439029	-75.5155403	41.89
ANT-Land_2000	13.013	-3.0435547	-75.5154809	41.83
ANT-Land_2000	13.025	-3.0432066	-75.5154215	41.78
ANT-Land_2000	13.037	-3.0428585	-75.5153621	41.72
ANT-Land_2000	13.049	-3.0425103	-75.5153026	41.67
ANT-Land_2000	13.060	-3.0421622	-75.5152432	41.61
ANT-Land_2000	13.072	-3.0418141	-75.5151838	41.55
ANT-Land_2000	13.084	-3.0414659	-75.5151244	41.50
ANT-Land_2000	13.095	-3.0411178	-75.5150649	41.44
ANT-Land_2000	13.107	-3.0407696	-75.5150055	41.39
ANT-Land_2000	13.119	-3.0404215	-75.5149461	41.33
ANT-Land_2000	13.131	-3.0400734	-75.5148867	41.28
ANT-Land_2000	13.142	-3.0397252	-75.5148272	41.22
ANT-Land_2000	13.154	-3.0393771	-75.5147678	41.16
ANT-Land_2000	13.166	-3.0390290	-75.5147084	41.11
ANT-Land_2000	13.177	-3.0386808	-75.5146490	41.05
ANT-Land_2000	13.189	-3.0383327	-75.5145896	41.00
ANT-Land_2000	13.201	-3.0379846	-75.5145301	40.94
ANT-Land_2000	13.213	-3.0376364	-75.5144707	40.89
ANT-Land_2000	13.224	-3.0372883	-75.5144113	40.83
ANT-Land_2000	13.236	-3.0369402	-75.5143519	40.78
ANT-Land_2000	13.248	-3.0365920	-75.5142924	40.72
ANT-Land_2000	13.259	-3.0362439	-75.5142330	40.67
ANT-Land_2000	13.271	-3.0358957	-75.5141736	40.61
ANT-Land_2000	13.283	-3.0355476	-75.5141142	40.56
ANT-Land_2000	13.295	-3.0351995	-75.5140547	40.50
ANT-Land_2000	13.306	-3.0348513	-75.5139953	40.44
ANT-Land_2000	13.318	-3.0345032	-75.5139359	40.39
ANT-Land_2000	13.330	-3.0341551	-75.5138765	40.33
ANT-Land_2000	13.341	-3.0338069	-75.5138171	40.28
ANT-Land_2000	13.353	-3.0334588	-75.5137576	40.22
ANT-Land_2000	13.365	-3.0331107	-75.5136982	40.16
ANT-Land_2000	13.376	-3.0327625	-75.5136388	40.11
ANT-Land_2000	13.388	-3.0324144	-75.5135794	40.05
ANT-Land_2000	13.400	-3.0320663	-75.5135199	39.99
ANT-Land_2000	13.412	-3.0317181	-75.5134605	39.94
ANT-Land_2000	13.423	-3.0313700	-75.5134011	39.92
ANT-Land_2000	13.435	-3.0310219	-75.5133417	39.90
ANT-Land_2000	13.447	-3.0306737	-75.5132823	39.88
ANT-Land_2000	13.458	-3.0303256	-75.5132228	39.86
ANT-Land_2000	13.470	-3.0299774	-75.5131634	39.84
ANT-Land_2000	13.482	-3.0296293	-75.5131040	39.82
ANT-Land_2000	13.494	-3.0292812	-75.5130446	39.79
ANT-Land_2000	13.505	-3.0289330	-75.5129851	39.77
ANT-Land_2000	13.517	-3.0285849	-75.5129257	39.75
ANT-Land_2000	13.529	-3.0282368	-75.5128663	39.73
ANT-Land_2000	13.540	-3.0278886	-75.5128069	39.71
ANT-Land_2000	13.552	-3.0275405	-75.5127474	39.68
ANT-Land_2000	13.564	-3.0271924	-75.5126880	39.66
ANT-Land_2000	13.576	-3.0268442	-75.5126286	39.64
ANT-Land_2000	13.587	-3.0264961	-75.5125692	39.62
ANT-Land_2000	13.599	-3.0261480	-75.5125098	39.60
ANT-Land_2000	13.611	-3.0257998	-75.5124503	39.58
ANT-Land_2000	13.622	-3.0254517	-75.5123909	39.55
ANT-Land_2000	13.634	-3.0251036	-75.5123315	39.53
ANT-Land_2000	13.646	-3.0247554	-75.5122721	39.51
ANT-Land_2000	13.658	-3.0244073	-75.5122126	39.49
ANT-Land_2000	13.669	-3.0240591	-75.5121532	39.47
ANT-Land_2000	13.681	-3.0237110	-75.5120938	39.45
ANT-Land_2000	13.693	-3.0233629	-75.5120344	39.42
ANT-Land_2000	13.704	-3.0230147	-75.5119749	39.40
ANT-Land_2000	13.716	-3.0226666	-75.5119155	39.38
ANT-Land_2000	13.728	-3.0223185	-75.5118561	39.36
ANT-Land_2000	13.740	-3.0219703	-75.5117967	39.34
ANT-Land_2000	13.751	-3.0216222	-75.5117372	39.32
ANT-Land_2000	13.763	-3.0212741	-75.5116778	39.29
ANT-Land_2000	13.775	-3.0209259	-75.5116184	39.27
ANT-Land_2000	13.786	-3.0205778	-75.5115590	39.25
ANT-Land_2000	13.798	-3.0202297	-75.5114995	39.23
ANT-Land_2000	13.810	-3.0198815	-75.5114401	39.21
ANT-Land_2000	13.822	-3.0195334	-75.5113807	39.19
ANT-Land_2000	13.833	-3.0191853	-75.5113213	39.16
ANT-Land_2000	13.845	-3.0188371	-75.5112619	39.14
ANT-Land_2000	13.857	-3.0184890	-75.5112024	39.12
ANT-Land_2000	13.868	-3.0181408	-75.5111430	39.10
ANT-Land_2000	13.880	-3.0177927	-75.5110836	39.08
ANT-Land_2000	13.892	-3.0174446	-75.5110242	39.06
ANT-Land_2000	13.904	-3.0170964	-75.5109647	39.04
ANT-Land_2000	13.915	-3.0167483	-75.5109053	39.01
ANT-Land_2000	13.927	-3.0164002	-75.5108459	38.99
ANT-Land_2000	13.939	-3.0160520	-75.5107865	38.97
ANT-Land_2000	13.950	-3.0157039	-75.5107270	38.95
ANT-Land_2000	13.962	-3.0153558	-75.5106676	38.92
ANT-Land_2000	13.974	-3.0150076	-75.5106082	38.90
ANT-Land_2000	13.986	-3.0146595	-75.5105488	38.88
ANT-Land_2000	13.997	-3.0143114	-75.5104894	38.85
ANT-Land_2000	14.009	-3.0139632	-75.5104299	38.83
ANT-Land_2000	14.021	-3.0136151	-75.5103705	38.81
ANT-Land_2000	14.032	-3.0132670	-75.5103111	38.82
ANT-Land_2000	14.044	-3.0129188	-75.5102517	38.83
ANT-Land_2000	14.056	-3.0125707	-75.5101923	38.84
ANT-Land_2000	14.068	-3.0122225	-75.5101328	38.84
ANT-Land_2000	14.079	-3.0118744	-75.5100734	38.85
ANT-Land_2000	14.091	-3.0115263	-75.5100140	38.86
ANT-Land_2000	14.103	-3.0111781	-75.5099546	38.87
ANT-Land_2000	14.114	-3.0108300	-75.5098951	38.88
ANT-Land_2000	14.126	-3.0104819	-75.5098357	38.89
ANT-Land_2000	14.138	-3.0101337	-75.5097763	38.90
ANT-Land_2000	14.150	-3.0097856	-75.5097169	38.91
ANT-Land_2000	14.161	-3.0094375	-75.5096574	38.92
ANT-Land_2000	14.173	-3.0090893	-75.5095980	38.93
ANT-Land_2000	14.185	-3.0087412	-75.5095386	38.94
ANT-Land_2000	14.196	-3.0083931	-75.5094792	38.95
ANT-Land_2000	14.208	-3.0080449	-75.5094197	38.96
ANT-Land_2000	14.220	-3.0076968	-75.5093603	38.96
ANT-Land_2000	14.232	-3.0073486	-75.5093009	38.97
ANT-Land_2000	14.243	-3.0070005	-75.5092415	38.98
ANT-Land_2000	14.255	-3.0066524	-75.5091821	38.99
ANT-Land_2000	14.267	-3.0063042	-75.5091226	39.00
ANT-Land_2000	14.278	-3.0059561	-75.5090632	39.01
ANT-Land_2000	14.290	-3.0056080	-75.5090038	39.02
ANT-Land_2000	14.302	-3.0052598	-75.5089444	39.03
ANT-Land_2000	14.314	-3.0049117	-75.5088849	39.04
ANT-Land_2000	14.325	-3.0045636	-75.5088255	39.04
ANT-Land_2000	14.337	-3.0042154	-75.5087661	39.05
ANT-Land_2000	14.349	-3.0038673	-75.5087067	39.06
ANT-Land_2000	14.360	-3.0035192	-75.5086472	39.07
ANT-Land_2000	14.372	-3.0031710	-75.5085878	39.08
ANT-Land_2000	14.384	-3.0028229	-75.5085284	39.09
ANT-Land_2000	14.396	-3.0024748	-75.5084690	39.10
ANT-Land_2000	14.407	-3.0021266	-75.5084095	39.10
ANT-Land_2000	14.419	-3.0017785	-75.5083501	39.11
ANT-Land_2000	14.431	-3.0014303	-75.5082907	39.12
ANT-Land_2000	14.442	-3.0010822	-75.5082313	39.13
ANT-Land_2000	14.454	-3.0007341	-75.5081719	39.14
ANT-Land_2000	14.466	-3.0003859	-75.5081124	39.15
ANT-Land_2000	14.478	-3.0000378	-75.5080530	39.16
ANT-Land_2000	14.489	-2.9996897	-75.5079936	39.16
ANT-Land_2000	14.501	-2.9993415	-75.5079342	39.17
ANT-Land_2000	14.513	-2.9989934	-75.5078747	39.18
ANT-Land_2000	14.524	-2.9986453	-75.5078153	39.19
ANT-Land_2000	14.536	-2.9982971	-75.5077559	39.20
ANT-Land_2000	14.548	-2.9979490	-75.5076965	39.21
ANT-Land_2000	14.560	-2.9976009	-75.5076370	39.22
ANT-Land_2000	14.571	-2.9972527	-75.5075776	39.23
ANT-Land_2000	14.583	-2.9969046	-75.5075182	39.23
ANT-Land_2000	14.595	-2.9965565	-75.5074588	39.24
ANT-Land_2000	14.606	-2.9962083	-75.5073994	39.25
ANT-Land_2000	14.618	-2.9958602	-75.5073399	39.26
ANT-Land_2000	14.630	-2.9955120	-75.5072805	39.27
ANT-Land_2000	14.642	-2.9951639	-75.5072211	39.31
ANT-Land_2000	14.653	-2.9948158	-75.5071617	39.35
ANT-Land_2000	14.665	-2.9944676	-75.5071022	39.40
ANT-Land_2000	14.677	-2.9941195	-75.5070428	39.44
ANT-Land_2000	14.688	-2.9937714	-75.5069834	39.48
ANT-Land_2000	14.700	-2.9934232	-75.5069240	39.53
ANT-Land_2000	14.712	-2.9930751	-75.5068646	39.57
ANT-Land_2000	14.724	-2.9927270	-75.5068051	39.61
ANT-Land_2000	14.735	-2.9923788	-75.5067457	39.65
ANT-Land_2000	14.747	-2.9920307	-75.5066863	39.70
ANT-Land_2000	14.759	-2.9916826	-75.5066269	39.74
ANT-Land_2000	14.770	-2.9913344	-75.5065674	39.78
ANT-Land_2000	14.782	-2.9909863	-75.5065080	39.83
ANT-Land_2000	14.794	-2.9906382	-75.5064486	39.87
ANT-Land_2000	14.806	-2.9902900	-75.5063892	39.91
ANT-Land_2000	14.817	-2.9899419	-75.5063297	39.95
ANT-Land_2000	14.829	-2.9895937	-75.5062703	39.99
ANT-Land_2000	14.841	-2.9892456	-75.5062109	40.04
ANT-Land_2000	14.852	-2.9888975	-75.5061515	40.08
ANT-Land_2000	14.864	-2.9885493	-75.5060921	40.12
ANT-Land_2000	14.876	-2.9882012	-75.5060326	40.17
ANT-Land_2000	14.888	-2.9878531	-75.5059732	40.21
ANT-Land_2000	14.899	-2.9875049	-75.5059138	40.26
ANT-Land_2000	14.911	-2.9871568	-75.5058544	40.30
ANT-Land_2000	14.923	-2.9868087	-75.5057949	40.34
ANT-Land_2000	14.934	-2.9864605	-75.5057355	40.38
ANT-Land_2000	14.946	-2.9861124	-75.5056761	40.43
ANT-Land_2000	14.958	-2.9857643	-75.5056167	40.47
ANT-Land_2000	14.969	-2.9854161	-75.5055572	40.51
ANT-Land_2000	14.981	-2.9850680	-75.5054978	40.56
ANT-Land_2000	14.993	-2.9847199	-75.5054384	40.60
ANT-Land_2000	15.005	-2.9843717	-75.5053790	40.64
ANT-Land_2000	15.016	-2.9840236	-75.5053195	40.68
ANT-Land_2000	15.028	-2.9836754	-75.5052601	40.73
ANT-Land_2000	15.040	-2.9833273	-75.5052007	40.77
ANT-Land_2000	15.051	-2.9829792	-75.5051413	40.81
ANT-Land_2000	15.063	-2.9826310	-75.5050818	40.85
ANT-Land_2000	15.075	-2.9822829	-75.5050224	40.90
ANT-Land_2000	15.087	-2.9819348	-75.5049630	40.94
ANT-Land_2000	15.098	-2.9815866	-75.5049036	40.98
ANT-Land_2000	15.110	-2.9812385	-75.5048442	41.03
ANT-Land_2000	15.122	-2.9808904	-75.5047847	41.07
ANT-Land_2000	15.133	-2.9805422	-75.5047253	41.11
ANT-Land_2000	15.145	-2.9801941	-75.5046659	41.16
ANT-Land_2000	15.157	-2.9798460	-75.5046065	41.20
ANT-Land_2000	15.169	-2.9794978	-75.5045470	41.24
ANT-Land_2000	15.180	-2.9791497	-75.5044876	41.28
ANT-Land_2000	15.192	-2.9788016	-75.5044282	41.33
ANT-Land_2000	15.204	-2.9784534	-75.5043688	41.37
ANT-Land_2000	15.215	-2.9781053	-75.5043093	41.41
ANT-Land_2000	15.227	-2.9777571	-75.5042499	41.46
ANT-Land_2000	15.239	-2.9774090	-75.5041905	41.50
ANT-Land_2000	15.251	-2.9770609	-75.5041311	41.54
ANT-Land_2000	15.262	-2.9767127	-75.5040717	41.59
ANT-Land_2000	15.274	-2.9763646	-75.5040122	41.63
ANT-Land_2000	15.286	-2.9760165	-75.5039528	41.67
ANT-Land_2000	15.297	-2.9756683	-75.5038934	41.71
ANT-Land_2000	15.309	-2.9753202	-75.5038340	41.76
ANT-Land_2000	15.321	-2.9749721	-75.5037746	41.80
ANT-Land_2000	15.333	-2.9746239	-75.5037151	41.84
ANT-Land_2000	15.344	-2.9742758	-75.5036557	41.89
ANT-Land_2000	15.356	-2.9739277	-75.5035963	41.93
ANT-Land_2000	15.368	-2.9735795	-75.5035369	41.98
ANT-Land_2000	15.379	-2.9732314	-75.5034774	42.02
ANT-Land_2000	15.391	-2.9728832	-75.5034180	42.06
ANT-Land_2000	15.403	-2.9725351	-75.5033586	42.11
ANT-Land_2000	15.415	-2.9721870	-75.5032992	42.15
ANT-Land_2000	15.426	-2.9718388	-75.5032397	42.20
ANT-Land_2000	15.438	-2.9714907	-75.5031803	42.24
ANT-Land_2000	15.450	-2.9711426	-75.5031209	42.29
ANT-Land_2000	15.461	-2.9707944	-75.5030615	42.33
ANT-Land_2000	15.473	-2.9704463	-75.5030020	42.38
ANT-Land_2000	15.485	-2.9700982	-75.5029426	42.42
ANT-Land_2000	15.497	-2.9697500	-75.5028832	42.46
ANT-Land_2000	15.508	-2.9694019	-75.5028238	42.51
ANT-Land_2000	15.520	-2.9690538	-75.5027644	42.55
ANT-Land_2000	15.532	-2.9687056	-75.5027049	42.59
ANT-Land_2000	15.543	-2.9683575	-75.5026455	42.64
ANT-Land_2000	15.555	-2.9680094	-75.5025861	42.68
ANT-Land_2000	15.567	-2.9676612	-75.5025267	42.73
ANT-Land_2000	15.579	-2.9673131	-75.5024672	42.77
ANT-Land_2000	15.590	-2.9669649	-75.5024078	42.81
ANT-Land_2000	15.602	-2.9666168	-75.5023484	42.86
ANT-Land_2000	15.614	-2.9662687	-75.5022890	42.91
ANT-Land_2000	15.625	-2.9659205	-75.5022295	42.95
ANT-Land_2000	15.637	-2.9655724	-75.5021701	43.00
ANT-Land_2000	15.649	-2.9652243	-75.5021107	43.04
ANT-Land_2000	15.661	-2.9648761	-75.5020513	43.09
ANT-Land_2000	15.672	-2.9645280	-75.5019918	43.13
ANT-Land_2000	15.684	-2.9641799	-75.5019324	43.17
ANT-Land_2000	15.696	-2.9638317	-75.5018730	43.22
ANT-Land_2000	15.707	-2.9634836	-75.5018136	43.26
ANT-Land_2000	15.719	-2.9631355	-75.5017542	43.31
ANT-Land_2000	15.731	-2.9627873	-75.5016947	43.35
ANT-Land_2000	15.743	-2.9624392	-75.5016353	43.39
ANT-Land_2000	15.754	-2.9620911	-75.5015759	43.44
ANT-Land_2000	15.766	-2.9617429	-75.5015165	43.48
ANT-Land_2000	15.778	-2.9613948	-75.5014570	43.53
ANT-Land_2000	15.789	-2.9610466	-75.5013976	43.57
ANT-Land_2000	15.801	-2.9606985	-75.5013382	43.61
ANT-Land_2000	15.813	-2.9603504	-75.5012788	43.66
ANT-Land_2000	15.825	-2.9600022	-75.5012193	43.70
ANT-Land_2000	15.836	-2.9596541	-75.5011599	43.75
ANT-Land_2000	15.848	-2.9593060	-75.5011005	43.79
ANT-Land_2000	15.860	-2.9589578	-75.5010411	43.84
ANT-Land_2000	15.871	-2.9586097	-75.5009817	43.88
ANT-Land_2000	15.883	-2.9582616	-75.5009222	43.92
ANT-Land_2000	15.895	-2.9579134	-75.5008628	43.97
ANT-Land_2000	15.907	-2.9575653	-75.5008034	44.01
ANT-Land_2000	15.918	-2.9572172	-75.5007440	44.06
ANT-Land_2000	15.930	-2.9568690	-75.5006845	44.07
ANT-Land_2000	15.942	-2.9565209	-75.5006251	44.08
ANT-Land_2000	15.953	-2.9561728	-75.5005657	44.09
ANT-Land_2000	15.965	-2.9558246	-75.5005063	44.10
ANT-Land_2000	15.977	-2.9554765	-75.5004469	44.12
